school,logo,type,color,alt_color
Northern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/128.png,Other,#000000,#ffffff
Northwestern State,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,FCS,#492F91,#ed6118
Northwest Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/138.png,Other,#000000,#ffffff
Notre Dame College,http://a.espncdn.com/i/teamlogos/ncaa/500/587.png,Other,#000000,#ffffff
Ouachita Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2888.png,Other,#000000,#ffffff
Pennsylvania,http://a.espncdn.com/i/teamlogos/ncaa/500/219.png,FCS,#082A74,#a6163d
Portland State,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,FCS,#00311e,#ebebeb
Prairie View,http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,FCS,#4d0960,#ffffff
Presbyterian College,http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,FCS,#194896,#990134
Princeton,http://a.espncdn.com/i/teamlogos/ncaa/500/163.png,FCS,#ff9408,#080808
Redlands,http://a.espncdn.com/i/teamlogos/ncaa/500/29.png,Other,#000000,#ffffff
Rhode Island,http://a.espncdn.com/i/teamlogos/ncaa/500/227.png,FCS,#3691C6,#5ab3e8
Richmond,http://a.espncdn.com/i/teamlogos/ncaa/500/257.png,FCS,#9e0712,#b90b2e
Robert Morris,http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,FCS,#00214D,#a21d2b
