school,logo,type,color,alt_color,wordmark,Order
Vanderbilt,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,P5,#000000,#231f20,vanderbilt_commodores_logo_wordmark_2012_sportslogosnet-9359.png,120
Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,P5,#00204e,#002d62,8905_virginia_cavaliers-wordmark-2020.png,121
Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,P5,#74232D,#c2c1ba,virginia_tech_hokies_logo_wordmark_2016_sportslogosnet-6021.png,122
Wake Forest,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,P5,#9E7E38,#000000,2196_wake_forest_demon_deacons-wordmark-2007.png,123
Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,P5,#2B2F64,#e8e3d3,washington_huskies_logo_wordmark_2016_sportslogosnet-3187.png ,124
Washington State,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,P5,#94022a,#6a747c,1054_washington_state_cougars-wordmark-2011.png ,125
Western Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,G5,#F32026,#b3b5b8,western_kentucky_hilltoppers_logo_wordmark_2017_sportslogosnet-6489.png,126
Western Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,G5,#B59966,#bfa979,western_michigan_broncos_logo_wordmark_20168247.png,127
West Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,P5,#FFC600,#eaaa00,west_virginia_mountaineers_logo_wordmark_2019_sportslogosnet-4155.png,128
Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,P5,#A00001,#f7f7f7,wisconsin-wordmark.png,129
Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,G5,#533B22,#ffffff,1604_wyoming_cowboys-wordmark-2004.png,130
Abilene Christian,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,FCS,#4e2683,#ebebeb,1371_abilene_christian__wildcats-wordmark-2013.png ,131
Alabama A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,FCS,#790000,#ffffff,7289_alabama_am-wordmark.png,132
Alabama State,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,FCS,#e9a900,#0a0a0a,,133
Albany,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,FCS,#3D2777,#ffffff,2478_albany_great_danes-wordmark-2020.png,134
Alcorn State,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,FCS,#4b0058,#46166a,1722_alcorn_state_braves-wordmark-2004.png,135
Alderson-Broaddus,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png,Other,#ffffff,#ffffff,,136
American International,http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png,Other,#000000,#ffffff,3659_aic__yellow_jackets-alternate-2009.png ,137
Amherst College,http://a.espncdn.com/i/teamlogos/ncaa/500/7.png,Other,#000000,#ffffff,,138
Anderson (IN),http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,Other,#000000,#ffffff,,139
Arkansas-Pine Bluff,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,FCS,#e0aa0f,#eaaa00,1457_arkansas-pb_golden_lions-wordmark-2015.png,140
Arkansas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,Other,#000000,#ffffff,,141
Austin Peay,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,FCS,#8e0b0b,#ffffff,1765_austin_peay_governors-wordmark-2014.png ,142
Bemidji State,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png,DII,#000000,#ffffff,8579_bemidji_state__beavers_-wordmark-2004.png,143
Bentley,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png,Other,#000000,#ffffff,,144
Bethel (TN),http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png,Other,#000000,#ffffff,,145
Bethune-Cookman,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,FCS,#7b1831,#e9aa12,,146
Bloomsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png,DII,#000000,#ffffff,,147
Bridgewater (VA),http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png,Other,#000000,#ffffff,,148
Brown,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png,FCS,#411e09,#949300,brown_bears_logo_wordmark_2018_sportslogosnet-9262.png,149
Bryant,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,FCS,#000000,#9f8343,bryant_bulldogs_logo_wordmark_2004_sportslogosnet-6573.png,150
Bucknell,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,FCS,#000060,#00316e,4711_bucknell_bison-wordmark-2002.png,151
Butler,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,FCS,#0d1361,#00a3e0,2065_butler_bulldogs-wordmark-2015.png,152
California (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png,Other,#000000,#ffffff,,153
Cal Poly,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,FCS,#1E4D2B,#eed897,cal_poly_mustangs_logo_wordmark_2021_sportslogosnet-4701.png,154
Campbell,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,FCS,#000000,#ffffff,4629_campbell_fighting_camels-wordmark-2005.png ,155
Carroll (WI),http://a.espncdn.com/i/teamlogos/ncaa/500/32.png,Other,#000000,#ffffff,,156
Central Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,FCS,#a7a9ac,#8e959a,3822_central_arkansas__bears-wordmark-2009.png,157
Central Connecticut,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,FCS,#1B49A2,#d1d5d8,1517_ccsu_blue_devils-wordmark-2012.png,158
Central Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png,Other,#000000,#ffffff,,159
Charleston Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,FCS,#2e3192,#ded090,csu_buccaneers_logo_wordmark_2019_sportslogosnet-4031.png,160
Chattanooga,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,FCS,#00386b,#dca71d,chattanooga_mocs_logo_wordmark_20085013.png,161
Claremont,http://a.espncdn.com/i/teamlogos/ncaa/500/17.png,Other,#000000,#ffffff,,162
Clarion,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png,Other,#000000,#ffffff,,163
Colby,http://a.espncdn.com/i/teamlogos/ncaa/500/33.png,Other,#000000,#ffffff,,164
Colgate,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,FCS,#8B011D,#231f20,3297_colgate_raiders-wordmark-2020.png,165
Colorado College,http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png,Other,#000000,#ffffff,,166
Columbia,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png,FCS,#174785,#004b85,,167
Concord,http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png,Other,#000000,#ffffff,,168
Cornell,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,FCS,#d60027,#101010,2820_cornell-wordmark.png,169
Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/512.png,Other,#000000,#ffffff,,170
Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,FCS,#005730,#000000,dartmouth_big_green_logo_wordmark_2019_sportslogosnet-3806.png,171
Davidson,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,FCS,#000000,#e51837,8863_davidson_wildcats-wordmark-2010.png,172
Dayton,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,FCS,#004B8D,#ffffff,3057_dayton_flyers-wordmark-2014.png,173
Delaware,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,FCS,#033594,#e8ce31,delaware_blue_hens_logo_wordmark_2018_sportslogosnet-3269.png ,174
