franchise_id,team,current_team,current_mascott,division,conference,FBS,color,alt_color,logo,class,team_name
241,NMUN,New Mexico,Lobos,Mountain,MWC,1,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,Group of 5,NEW MEXICO
242,NMST,New Mexico State,Aggies,NA,IND,1,#891216,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,Group of 5,NEW MEX ST
245,NCUN,North Carolina,Tar Heels,Coastal,ACC,1,#99bfe5,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,Power 5,N CAROLINA
248,NCST,NC State,Wolfpack,Atlantic,ACC,1,#EF1216,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,Power 5,NC STATE
251,TXNO,North Texas,Mean Green,West,Conference USA,1,#00853D,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,Group of 5,N TEXAS
254,ILNO,Northern Illinois,Huskies,West,MAC,1,#F1122C,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,Group of 5,N ILLINOIS
256,ILNW,Northwestern,Wildcats,West,Big Ten,1,#372286,#d6cac1,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Power 5,NWESTERN
258,INND,Notre Dame,Fighting Irish,NA,IND,1,#00122b,#ae9142,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,Power 5,NOTRE DAME
259,OHUN,Ohio,Bobcats,East,MAC,1,#295A29,#e4bb85,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Group of 5,OHIO
260,OHST,Ohio State,Buckeyes,East,Big Ten,1,#DE3121,#666666,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Power 5,OHIO STATE
261,OKUN,Oklahoma,Sooners,NA,Big-12,1,#7b0000,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Power 5,OKLAHOMA
262,OKST,Oklahoma State,Cowboys,NA,Big-12,1,#FF6500,#ff9900,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Power 5,OKLA STATE
263,VAOD,Old Dominion,Monarchs,East,Conference USA,1,#00507d,#a1d2f1,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Group of 5,DOMINION
264,ORUN,Oregon,Ducks,North,PAC-12,1,#044520,#fee123,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Power 5,OREGON
265,ORST,Oregon State,Beavers,North,PAC-12,1,#c34500,#dea076,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Power 5,OREGON ST
266,PAST,Penn State,Nittany Lions,East,Big Ten,1,#00265D,#002e5c,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Power 5,PENN STATE
268,PAPT,Pittsburgh,Panthers,Coastal,ACC,1,#003263,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,Power 5,PITTSBURGH
273,INPU,Purdue,Boilermakers,West,Big Ten,1,#B89D29,#a4a9ad,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Power 5,PURDUE
275,TXRI,Rice,Owls,West,Conference USA,1,#003D7D,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Group of 5,RICE
278,NJRU,Rutgers,Scarlet Knights,East,Big Ten,1,#d21034,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Power 5,RUTGERS
284,CASS,San Diego State,Aztecs,West,MWC,1,#BF2C37,#a8996e,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,Group of 5,S DIEGO ST
285,CASJ,San José State,Spartans,West,MWC,1,#005893,#fdba31,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,Group of 5,S JOSE ST
287,TXMU,SMU,Mustangs,West,AAC,1,#E32F38,#ecdcb9,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,Group of 5,SMU
288,ALSO,South Alabama,Jaguars,West,Sun Belt,1,#003E7E,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,Group of 5,S ALABAMA
289,SCUN,South Carolina,Gamecocks,East,SEC,1,#670010,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,Power 5,S CAROLINA
296,MSSO,Southern Miss,Golden Eagles,West,Conference USA,1,#FFAA3C,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,Group of 5,SO MISS
